split_name,split_row_index,global_review_rank,item_id,axis,gold,clean_pred,clean_gold_gap,gemini,seed,core_mean,max_clean_vs_gemini_seed_gap,mean_clean_vs_gemini_seed_gap,gemini_seed_support_gold,gemini_seed_support_clean,all_judge_support_gold,all_judge_support_clean,review_score,dataset,gen_model,task,episode,instruction,all_judge_scores,video_url,clean_output_snippet
part2,1,83,data__agibot_world__generated_data__cosmos3_prefix__task_0146__episode_0001__1__task_0146_episode_0001,PA,5,3,2,2,4,3.0,1,1.0,0,1,2,1,29.0,agibot_world,cosmos3_prefix,task_0146,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 4}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cosmos3_prefix/task_0146/episode_0001/1/task_0146_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both black robot arms and two-finger grippers remain structurally consistent throughout; no extra fingers, melting, or major warping is visible, though the right gripper/cable area is somewhat visually cluttered. Scene & object consistency: the shelf, cart, boxes, and background remain mostly stable, but the central Danisa box changes appearance noticeably as it is pulled forward, with the front label/text and graphics shifting or becoming distorted in a way that "
part2,2,84,data__droid__generated_data__cogvideo_i2v_f113_prefix__task_0089__episode_0001__1__task_0089_episode_0001,PA,3,1,2,2,2,2.0,1,1.0,0,0,1,0,29.0,droid,cogvideo_i2v_f113_prefix,task_0089,episode_0001,,"{""GPT-5.2"": 2, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 2, ""Qwen3.7-Max"": 2, ""Qwen3.7-Plus"": 2, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cogvideo_i2v_f113_prefix/task_0089/episode_0001/1/task_0089_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the white robot arm and hand are not structurally consistent; the hand swells into a bulky mitten-like shape, fingers merge and change length, and the wrist/forearm geometry warps as it moves. The upper robot/gripper also appears to change shape and position abruptly. Scene & object consistency: the tabletop and background are mostly stable, but the manipulated objects are highly inconsistent. A white bowl with a utensil suddenly becomes a black bowl, the utensil "
part2,3,85,data__gr1_inlab__generated_data__abot_physworld_f113_prefix__task_0126__episode_0001__1__task_0126_episode_0001,IA,5,3,2,4,2,3.0,1,1.0,0,1,3,2,29.0,gr1_inlab,abot_physworld_f113_prefix,task_0126,episode_0001,"""Pick up the pink dragon fruit from the wooden table with the right robotic gripper.""","{""GPT-5.2"": 5, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/abot_physworld_f113_prefix/task_0126/episode_0001/1/task_0126_episode_0001.mp4,"{""reasoning"": ""Agent match: The same two robotic grippers visible in the first frame remain present, and the right robotic gripper is the one that ultimately contacts and lifts the fruit. Object correctness: The manipulated object is the pink dragon fruit on the wooden table, matching the instructed target. Goal completion: The right gripper does grasp and lift the dragon fruit off the table for several frames, but by the final frames the fruit appears to be lowered back toward or onto the table"
part2,4,86,data__egoscaler_human__generated_data__cogvideo_i2v_f113_rewrite__task_0035__episode_0001__1__task_0035_episode_0001,PA,4,2,2,2,3,2.5,1,0.5,0,1,3,1,28.5,egoscaler_human,cogvideo_i2v_f113_rewrite,task_0035,episode_0001,,"{""GPT-5.2"": 3, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/cogvideo_i2v_f113_rewrite/task_0035/episode_0001/1/task_0035_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the human hands and blue sleeves remain mostly recognizable, but the fingers blur and smear during fast motion, and the hands sometimes appear as indistinct blobs rather than anatomically consistent hands. Scene & object consistency: the background car, tire, mesh, and side mirror are fairly stable, but the white material changes scale and shape dramatically; it starts as a small patch and then becomes an enormous mound covering most of the scene, with edges and v"
part2,5,87,data__egoscaler_human__generated_data__kling_prefix__task_0041__episode_0001__1__task_0041_episode_0001,PA,5,3,2,3,4,3.5,1,0.5,0,1,3,1,28.5,egoscaler_human,kling_prefix,task_0041,episode_0001,,"{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 3, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 4}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/kling_prefix/task_0041/episode_0001/1/task_0041_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the human hands in yellow rubber gloves remain structurally consistent, with no obvious extra fingers, melting, or severe warping; the second hand enters naturally and maintains plausible shape. Scene & object consistency: the sink, faucet, soap bottle, glass, knife block, and countertop remain mostly stable, but the black dish changes appearance noticeably: it starts as a glossy black oval/pan-like object, then becomes a flatter bowl/plate with a central circular"
part2,6,88,data__epickitchens_human__generated_data__veo31_lite_rewrite__task_0046__episode_0001__1__task_0046_episode_0001,PA,5,3,2,4,3,3.5,1,0.5,0,1,3,1,28.5,epickitchens_human,veo31_lite_rewrite,task_0046,episode_0001,,"{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/veo31_lite_rewrite/task_0046/episode_0001/1/task_0046_episode_0001.mp4,"{""reasoning"": ""Agent integrity: The human forearms, hands, fingers, wristband, and shoes remain anatomically consistent throughout; the hands keep plausible proportions while reaching, grasping, and rubbing. Scene & object consistency: The dark countertop, wooden cabinets, metal handles, refrigerator, floor, chicken package, bowl, and bagged carrot stay fixed with no obvious teleporting or morphing. The white cloth remains the same object, though its folds and edges change abruptly as it is lift"
part2,7,89,data__epickitchens_human__generated_data__abot_physworld_f113_prefix__task_0032__episode_0001__1__task_0032_episode_0001,IA,5,3,2,4,4,4.0,1,1.0,0,0,2,2,28.0,epickitchens_human,abot_physworld_f113_prefix,task_0032,episode_0001,"""Rinse the pink plate in the stainless steel sink with your right hand.""","{""GPT-5.2"": 3, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 3, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 4}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/abot_physworld_f113_prefix/task_0032/episode_0001/1/task_0032_episode_0001.mp4,"{""reasoning"": ""Agent match: The same visible human arms/hands from the initial frame remain present; the right hand is the one manipulating the sponge/plate, so the agent appears consistent. Object correctness: The manipulated object is the pink plate in the stainless steel sink, matching the instruction. Goal completion: The plate is scrubbed with a sponge by the right hand, but there is no clear rinsing action: the faucet is not visibly used, no running water is shown, and the plate remains co"
part2,8,90,data__epickitchens_human__generated_data__cosmos3_prefix__task_0023__episode_0001__1__task_0023_episode_0001,IA,5,3,2,4,3,3.5,1,0.5,0,1,2,1,27.5,epickitchens_human,cosmos3_prefix,task_0023,episode_0001,"""Wrap the pink raw meat on the clear plastic wrap using your hands.""","{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/cosmos3_prefix/task_0023/episode_0001/1/task_0023_episode_0001.mp4,"{""reasoning"": ""Agent match: The same visible human hands/arms from the initial frame remain the manipulator throughout; no new or different agent appears. Object correctness: The hands manipulate the pink raw meat and the clear plastic wrap on the table, which matches the instructed target objects. Goal completion: The hands lift and pull the clear plastic wrap around the meat, but by the final frame the meat is still largely exposed and not fully enclosed or sealed in the wrap. The task is only"
part2,9,91,data__open_x_embodiment__generated_data__cosmos3_prefix__task_0115__episode_0001__1__task_0115_episode_0001,PA,5,3,2,3,4,3.5,1,0.5,0,1,2,1,27.5,open_x_embodiment,cosmos3_prefix,task_0115,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 3, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 4}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cosmos3_prefix/task_0115/episode_0001/1/task_0115_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the white robot arm, black cable, wrist housing, and two-finger gripper remain structurally consistent throughout; the joints rotate coherently with no extra parts or deformation. Scene & object consistency: the black open bin, yellow bowl, blue round plate, patterned box, pale tabletop, textured wall, and dark cabinet stay stable; the bowl keeps its color and shape. Interaction realism: the gripper descends onto the yellow bowl, lifts it from the table, carries i"
part2,10,92,data__robotwin__generated_data__cosmos3_rewrite__task_0138__episode_0001__1__task_0138_episode_0001,IA,4,2,2,2,3,2.5,1,0.5,0,1,3,2,27.5,robotwin,cosmos3_rewrite,task_0138,episode_0001,"""Place the mouse with two buttons and a scroll wheel from the table with the black gripper precisely on top of the rectangular metal displaystand, upright.""","{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 2, ""Qwen3.7-Max"": 4, ""Qwen3.7-Plus"": 3, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cosmos3_rewrite/task_0138/episode_0001/1/task_0138_episode_0001.mp4,"{""reasoning"": ""Agent match: The same black robotic arm/gripper visible in the first frame is the one moving throughout the video, so the agent matches. Object correctness: The instructed target is the beige mouse with two buttons and a scroll wheel, which remains on the table near the upper right and is never grasped. Instead, the gripper manipulates a colorful Rubik's-cube-like object. Goal completion: The mouse is not placed on the rectangular metal display stand; it stays off the stand at the"
